partido,zona,empresa,extracto,iframe
Ituzaingó,Zona 2 (norte),Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 88 horas en planificación con fecha estipulada de inicio el 30/12/99 |   A cargo de la empresa Gerónimo Rizzo S.A.,
José C. Paz,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Junín,Zona 3,Olivo Zamboano S.A.,BOMBAS | 1 bombas marca PIVAS 3.000.000 LTS/HR ubicado en Barrio San Ignacio (Junin) | 1 bombas marca PIVAS 1.500.000 LTS/HR ubicado en RN188 y Calle Ricardo Rojas (Junin) | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Laplacette | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Corralon Vial de la Municipalidad de Junin,
La Matanza,Zona 2 (centro),Marcalba S.A.,HORAS MÁQUINAS |   - 800 horas en ejecución desde 01/11/25 |   - 680 horas ejecutadas entre el 26/09/25 y el 04/11/25 |   A cargo de la empresa Marcalba S.A.,
La Plata,Zona 2 (sur),Olivo Zamboano S.A.,HORAS MÁQUINAS |   - 837 horas ejecutadas entre el 13/09/25 y el 27/10/25 |   - 300 horas en planificación con fecha estipulada de inicio el 30/12/99 |   A cargo de la empresa Olivo Zamboano S.A.,
Lanús,Zona 2 (centro),Marcalba S.A.,,
Laprida,Zona 5,Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 133 horas ejecutadas entre el 31/07/25 y el 25/08/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Las Flores,Zona 4,Marcalba S.A.,CAÑOS ENTREGADOS |   - 6 caños de chapa corrugada de ø800 mm. entregado el 12/06/25 | BOMBAS | 1 bombas marca PIVAS 4.000.000 LTS/HR ubicado en Municipalidad de Las Flores,
Leandro Alem,Zona 3,Olivo Zamboano S.A.,,
Lincoln,Zona 7,Marcalba S.A.,BOMBAS | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Terreno al lado del Corralon Municipal de Lincoln (Av. Salta y Calle Liborio Tiseyra) | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Municipalidad de Lincoln,
Lobería,Zona 5,Gerónimo Rizzo S.A.,,
Lobos,Zona 4,Marcalba S.A.,,
Lomas de Zamora,Zona 2 (centro),Marcalba S.A.,HORAS MÁQUINAS |   - 440 horas en ejecución desde 01/11/25 |   A cargo de la empresa Marcalba S.A.,
Luján,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Magdalena,Zona 2 (sur),Olivo Zamboano S.A.,CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo corto desde el 08 de octubre mediante Prestación de equipo: Limpieza y mejoramiento de  canales de desagüe en la Localidad de Magdalena - Etapa II,
Maipú,Zona 8,Gerónimo Rizzo S.A.,,
Malvinas Argentinas,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Mar Chiquita,Zona 8,Gerónimo Rizzo S.A.,,
Marcos Paz,Zona 2 (centro),Marcalba S.A.,CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo corto desde el 08 de octubre mediante Prestación de equipo: Limpieza y mejoramiento del Arroyo Morales y Arroyo La Paja – Etapa IX,
Mercedes,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Merlo,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Monte Hermoso,Zona 6,Lurovial S.R.L.,,
Moreno,Zona 2 (norte),Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 350 horas en planificación con fecha estipulada de inicio el 30/12/99 |   A cargo de la empresa Gerónimo Rizzo S.A.,
